step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
0,Forecast,98.0,2,112,112,1.8666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
1,Forecast,117.0,2,98,98,1.6333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
2,Forecast,119.0,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
3,Forecast,90.0,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
4,Forecast,97.0,2,90,90,1.5,0,2,200,50.0,75.0,0.03333333333333333,0
5,Forecast,111.0,2,97,97,1.6166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
6,Forecast,107.0,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
7,Forecast,110.0,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
8,Forecast,102.0,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
9,Forecast,119.0,2,102,102,1.7,0,2,200,50.0,75.0,0.03333333333333333,0
10,Forecast,118.0,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
11,Forecast,111.0,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
12,Forecast,122.0,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
13,Forecast,116.0,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
14,Forecast,103.0,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
15,Forecast,115.0,2,103,103,1.7166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
16,Forecast,102.0,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
17,Forecast,121.0,2,102,102,1.7,0,2,200,50.0,75.0,0.03333333333333333,0
18,Forecast,111.0,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
19,Forecast,110.0,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
20,Forecast,106.0,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
21,Forecast,125.0,2,106,106,1.7666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
22,Forecast,111.0,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
23,Forecast,109.0,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
24,Forecast,110.0,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
25,Forecast,119.0,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
26,Forecast,117.0,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
27,Forecast,118.0,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
28,Forecast,118.0,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
29,Forecast,135.0,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
30,Forecast,110.0,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
31,Forecast,109.0,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
32,Forecast,106.0,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
33,Forecast,121.0,2,106,106,1.7666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
34,Forecast,126.0,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
35,Forecast,114.0,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
36,Forecast,107.0,2,114,114,1.9,0,2,200,50.0,75.0,0.03333333333333333,0
37,Forecast,107.0,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
38,Forecast,122.0,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
39,Forecast,123.0,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
40,Forecast,121.0,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
41,Forecast,109.0,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
42,Forecast,118.0,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
43,Forecast,117.0,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
44,Forecast,119.0,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
45,Forecast,125.0,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
46,Forecast,119.0,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
47,Forecast,124.0,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
