step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
0,Optimization,,2,112,112,1.8666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
1,Optimization,,1,98,98,1.6333333333333333,0,1,100,50.0,75.0,0.016666666666666666,0
2,Optimization,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
3,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
4,Optimization,,1,90,90,1.5,0,1,100,50.0,75.0,0.016666666666666666,0
5,Optimization,,1,97,97,1.6166666666666667,0,1,100,50.0,75.0,0.016666666666666666,0
6,Optimization,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
7,Optimization,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
8,Optimization,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
9,Optimization,,2,102,102,1.7,0,2,200,50.0,75.0,0.03333333333333333,0
10,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
11,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
12,Optimization,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
13,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
14,Optimization,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
15,Optimization,,2,103,103,1.7166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
16,Optimization,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
17,Optimization,,2,102,102,1.7,0,2,200,50.0,75.0,0.03333333333333333,0
18,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
19,Optimization,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
20,Optimization,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
21,Optimization,,2,106,106,1.7666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
22,Optimization,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
23,Optimization,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
24,Optimization,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
25,Optimization,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
26,Optimization,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
27,Optimization,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
28,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
29,Optimization,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
30,Optimization,,2,135,135,2.25,0,2,200,50.0,75.0,0.03333333333333333,0
31,Optimization,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
32,Optimization,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
33,Optimization,,2,106,106,1.7666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
34,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
35,Optimization,,2,126,126,2.1,0,2,200,50.0,75.0,0.03333333333333333,0
36,Optimization,,2,114,114,1.9,0,2,200,50.0,75.0,0.03333333333333333,0
37,Optimization,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
38,Optimization,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
39,Optimization,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
40,Optimization,,2,123,123,2.05,0,2,200,50.0,75.0,0.03333333333333333,0
41,Optimization,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
