step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
0,Reactive,,2,112,112,1.8666666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
1,Reactive,,2,98,98,1.6333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
2,Reactive,,2,117,117,1.95,0,2,200,50.0,75.0,0.03333333333333333,0
3,Reactive,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
4,Reactive,,2,90,90,1.5,0,2,200,50.0,75.0,0.03333333333333333,0
5,Reactive,,2,97,97,1.6166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
6,Reactive,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
7,Reactive,,2,107,107,1.7833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
8,Reactive,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
9,Reactive,,2,102,102,1.7,0,2,200,50.0,75.0,0.03333333333333333,0
10,Reactive,,2,119,119,1.9833333333333334,0,2,200,50.0,75.0,0.03333333333333333,0
11,Reactive,,2,118,118,1.9666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
12,Reactive,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
13,Reactive,,2,122,122,2.033333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
14,Reactive,,2,116,116,1.9333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
15,Reactive,,2,103,103,1.7166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
16,Reactive,,2,115,115,1.9166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
17,Reactive,,2,102,102,1.7,0,2,200,50.0,75.0,0.03333333333333333,0
18,Reactive,,2,121,121,2.0166666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
19,Reactive,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
20,Reactive,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
21,Reactive,,2,106,106,1.7666666666666666,0,2,200,50.0,75.0,0.03333333333333333,0
22,Reactive,,2,125,125,2.0833333333333335,0,2,200,50.0,75.0,0.03333333333333333,0
23,Reactive,,2,111,111,1.85,0,2,200,50.0,75.0,0.03333333333333333,0
24,Reactive,,2,109,109,1.8166666666666667,0,2,200,50.0,75.0,0.03333333333333333,0
25,Reactive,,2,110,110,1.8333333333333333,0,2,200,50.0,75.0,0.03333333333333333,0
