step,strategy,forecast_requests,target_instances,incoming_requests,processed_requests,throughput,queue_length,active_instances,total_capacity,estimated_latency_ms,estimated_p95_latency_ms,infrastructure_cost,sla_violations
0,Static,,3,112,112,1.8666666666666667,0,3,300,50.0,75.0,0.05,0
1,Static,,3,98,98,1.6333333333333333,0,3,300,50.0,75.0,0.05,0
2,Static,,3,117,117,1.95,0,3,300,50.0,75.0,0.05,0
3,Static,,3,119,119,1.9833333333333334,0,3,300,50.0,75.0,0.05,0
4,Static,,3,90,90,1.5,0,3,300,50.0,75.0,0.05,0
5,Static,,3,97,97,1.6166666666666667,0,3,300,50.0,75.0,0.05,0
6,Static,,3,111,111,1.85,0,3,300,50.0,75.0,0.05,0
7,Static,,3,107,107,1.7833333333333334,0,3,300,50.0,75.0,0.05,0
8,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
9,Static,,3,102,102,1.7,0,3,300,50.0,75.0,0.05,0
10,Static,,3,119,119,1.9833333333333334,0,3,300,50.0,75.0,0.05,0
11,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
12,Static,,3,111,111,1.85,0,3,300,50.0,75.0,0.05,0
13,Static,,3,122,122,2.033333333333333,0,3,300,50.0,75.0,0.05,0
14,Static,,3,116,116,1.9333333333333333,0,3,300,50.0,75.0,0.05,0
15,Static,,3,103,103,1.7166666666666666,0,3,300,50.0,75.0,0.05,0
16,Static,,3,115,115,1.9166666666666667,0,3,300,50.0,75.0,0.05,0
17,Static,,3,102,102,1.7,0,3,300,50.0,75.0,0.05,0
18,Static,,3,121,121,2.0166666666666666,0,3,300,50.0,75.0,0.05,0
19,Static,,3,111,111,1.85,0,3,300,50.0,75.0,0.05,0
20,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
21,Static,,3,106,106,1.7666666666666666,0,3,300,50.0,75.0,0.05,0
22,Static,,3,125,125,2.0833333333333335,0,3,300,50.0,75.0,0.05,0
23,Static,,3,111,111,1.85,0,3,300,50.0,75.0,0.05,0
24,Static,,3,109,109,1.8166666666666667,0,3,300,50.0,75.0,0.05,0
25,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
26,Static,,3,119,119,1.9833333333333334,0,3,300,50.0,75.0,0.05,0
27,Static,,3,117,117,1.95,0,3,300,50.0,75.0,0.05,0
28,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
29,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
30,Static,,3,135,135,2.25,0,3,300,50.0,75.0,0.05,0
31,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
32,Static,,3,109,109,1.8166666666666667,0,3,300,50.0,75.0,0.05,0
33,Static,,3,106,106,1.7666666666666666,0,3,300,50.0,75.0,0.05,0
34,Static,,3,121,121,2.0166666666666666,0,3,300,50.0,75.0,0.05,0
35,Static,,3,126,126,2.1,0,3,300,50.0,75.0,0.05,0
36,Static,,3,114,114,1.9,0,3,300,50.0,75.0,0.05,0
37,Static,,3,107,107,1.7833333333333334,0,3,300,50.0,75.0,0.05,0
38,Static,,3,107,107,1.7833333333333334,0,3,300,50.0,75.0,0.05,0
39,Static,,3,122,122,2.033333333333333,0,3,300,50.0,75.0,0.05,0
40,Static,,3,123,123,2.05,0,3,300,50.0,75.0,0.05,0
41,Static,,3,121,121,2.0166666666666666,0,3,300,50.0,75.0,0.05,0
42,Static,,3,109,109,1.8166666666666667,0,3,300,50.0,75.0,0.05,0
43,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
44,Static,,3,117,117,1.95,0,3,300,50.0,75.0,0.05,0
45,Static,,3,119,119,1.9833333333333334,0,3,300,50.0,75.0,0.05,0
46,Static,,3,125,125,2.0833333333333335,0,3,300,50.0,75.0,0.05,0
47,Static,,3,119,119,1.9833333333333334,0,3,300,50.0,75.0,0.05,0
48,Static,,3,124,124,2.066666666666667,0,3,300,50.0,75.0,0.05,0
49,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
50,Static,,3,120,120,2.0,0,3,300,50.0,75.0,0.05,0
51,Static,,3,124,124,2.066666666666667,0,3,300,50.0,75.0,0.05,0
52,Static,,3,103,103,1.7166666666666666,0,3,300,50.0,75.0,0.05,0
53,Static,,3,115,115,1.9166666666666667,0,3,300,50.0,75.0,0.05,0
54,Static,,3,113,113,1.8833333333333333,0,3,300,50.0,75.0,0.05,0
55,Static,,3,112,112,1.8666666666666667,0,3,300,50.0,75.0,0.05,0
56,Static,,3,116,116,1.9333333333333333,0,3,300,50.0,75.0,0.05,0
57,Static,,3,133,133,2.216666666666667,0,3,300,50.0,75.0,0.05,0
58,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
59,Static,,3,129,129,2.15,0,3,300,50.0,75.0,0.05,0
60,Static,,3,102,102,1.7,0,3,300,50.0,75.0,0.05,0
61,Static,,3,115,115,1.9166666666666667,0,3,300,50.0,75.0,0.05,0
62,Static,,3,120,120,2.0,0,3,300,50.0,75.0,0.05,0
63,Static,,3,125,125,2.0833333333333335,0,3,300,50.0,75.0,0.05,0
64,Static,,3,126,126,2.1,0,3,300,50.0,75.0,0.05,0
65,Static,,3,127,127,2.1166666666666667,0,3,300,50.0,75.0,0.05,0
66,Static,,3,116,116,1.9333333333333333,0,3,300,50.0,75.0,0.05,0
67,Static,,3,115,115,1.9166666666666667,0,3,300,50.0,75.0,0.05,0
68,Static,,3,128,128,2.1333333333333333,0,3,300,50.0,75.0,0.05,0
69,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
70,Static,,3,107,107,1.7833333333333334,0,3,300,50.0,75.0,0.05,0
71,Static,,3,109,109,1.8166666666666667,0,3,300,50.0,75.0,0.05,0
72,Static,,3,111,111,1.85,0,3,300,50.0,75.0,0.05,0
73,Static,,3,125,125,2.0833333333333335,0,3,300,50.0,75.0,0.05,0
74,Static,,3,122,122,2.033333333333333,0,3,300,50.0,75.0,0.05,0
75,Static,,3,128,128,2.1333333333333333,0,3,300,50.0,75.0,0.05,0
76,Static,,3,117,117,1.95,0,3,300,50.0,75.0,0.05,0
77,Static,,3,123,123,2.05,0,3,300,50.0,75.0,0.05,0
78,Static,,3,128,128,2.1333333333333333,0,3,300,50.0,75.0,0.05,0
79,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
80,Static,,3,126,126,2.1,0,3,300,50.0,75.0,0.05,0
81,Static,,3,115,115,1.9166666666666667,0,3,300,50.0,75.0,0.05,0
82,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
83,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
84,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
85,Static,,3,127,127,2.1166666666666667,0,3,300,50.0,75.0,0.05,0
86,Static,,3,118,118,1.9666666666666666,0,3,300,50.0,75.0,0.05,0
87,Static,,3,123,123,2.05,0,3,300,50.0,75.0,0.05,0
88,Static,,3,128,128,2.1333333333333333,0,3,300,50.0,75.0,0.05,0
89,Static,,3,128,128,2.1333333333333333,0,3,300,50.0,75.0,0.05,0
90,Static,,3,130,130,2.1666666666666665,0,3,300,50.0,75.0,0.05,0
91,Static,,3,122,122,2.033333333333333,0,3,300,50.0,75.0,0.05,0
92,Static,,3,119,119,1.9833333333333334,0,3,300,50.0,75.0,0.05,0
93,Static,,3,123,123,2.05,0,3,300,50.0,75.0,0.05,0
94,Static,,3,107,107,1.7833333333333334,0,3,300,50.0,75.0,0.05,0
95,Static,,3,110,110,1.8333333333333333,0,3,300,50.0,75.0,0.05,0
96,Static,,3,111,111,1.85,0,3,300,50.0,75.0,0.05,0
97,Static,,3,114,114,1.9,0,3,300,50.0,75.0,0.05,0
98,Static,,3,129,129,2.15,0,3,300,50.0,75.0,0.05,0
99,Static,,3,116,116,1.9333333333333333,0,3,300,50.0,75.0,0.05,0
100,Static,,3,121,121,2.0166666666666666,0,3,300,50.0,75.0,0.05,0
101,Static,,3,138,138,2.3,0,3,300,50.0,75.0,0.05,0
102,Static,,3,122,122,2.033333333333333,0,3,300,50.0,75.0,0.05,0
103,Static,,3,133,133,2.216666666666667,0,3,300,50.0,75.0,0.05,0
104,Static,,3,116,116,1.9333333333333333,0,3,300,50.0,75.0,0.05,0
105,Static,,3,124,124,2.066666666666667,0,3,300,50.0,75.0,0.05,0
106,Static,,3,116,116,1.9333333333333333,0,3,300,50.0,75.0,0.05,0
107,Static,,3,123,123,2.05,0,3,300,50.0,75.0,0.05,0
108,Static,,3,135,135,2.25,0,3,300,50.0,75.0,0.05,0
109,Static,,3,109,109,1.8166666666666667,0,3,300,50.0,75.0,0.05,0
110,Static,,3,131,131,2.183333333333333,0,3,300,50.0,75.0,0.05,0
111,Static,,3,129,129,2.15,0,3,300,50.0,75.0,0.05,0
112,Static,,3,121,121,2.0166666666666666,0,3,300,50.0,75.0,0.05,0
